statId;macId;ramUsage;batteryLevel;cpuUsage;timestamp
746;20;3131;16;0;2019-10-01 21:36:******
783;12;2033;17;0;2019-10-01 21:49:******
784;12;2019;17;0;2019-10-01 21:49:******
785;23;2238;57;0;2019-10-01 21:49:******
786;23;2237;57;0;2019-10-01 21:49:******
787;20;2954;11;0;2019-10-01 21:49:******
840;25;1347;57;1;2019-10-01 22:08:******
841;25;1322;57;0;2019-10-01 22:08:******
842;25;1319;57;0;2019-10-01 22:08:******
843;25;1314;57;0;2019-10-01 22:08:******
844;25;1321;57;0;2019-10-01 22:08:******
845;20;2639;28;0;2019-10-01 22:08:******
846;12;2092;12;0;2019-10-01 22:08:******
847;12;2089;12;0;2019-10-01 22:08:******
848;14;2735;43;0;2019-10-01 22:09:******
849;20;2651;29;0;2019-10-01 22:09:******
850;14;2713;43;0;2019-10-01 22:09:******
851;12;2196;12;0;2019-10-01 22:09:******
852;12;2195;12;0;2019-10-01 22:09:******
853;14;2716;43;0;2019-10-01 22:10:******
854;14;2713;43;0;2019-10-01 22:10:******
855;14;2720;43;0;2019-10-01 22:10:******
856;20;2658;31;0;2019-10-01 22:10:******
857;12;2127;12;0;2019-10-01 22:10:******
858;12;2130;12;0;2019-10-01 22:10:******
884;14;3030;42;0;2019-10-01 22:20:******
885;14;3011;42;0;2019-10-01 22:20:******
886;20;2844;37;0;2019-10-01 22:20:******
887;12;2030;17;0;2019-10-01 22:20:******
888;12;2030;17;0;2019-10-01 22:20:******
993;29;2812;73;0;2019-10-01 23:37:******
994;17;1048;63;0;2019-10-01 23:37:******
995;17;1041;63;0;2019-10-01 23:37:******
996;17;1059;63;0;2019-10-01 23:37:******
997;20;3096;81;0;2019-10-01 23:37:******
1030;33;4728;31;0;2019-10-01 23:55:******
1031;33;4735;31;0;2019-10-01 23:55:******
1032;33;4613;31;0;2019-10-01 23:55:******
1033;33;4616;31;0;2019-10-01 23:55:******
1034;20;3105;77;0;2019-10-01 23:55:******
1086;34;2640;100;0;2019-10-02 00:21:******
1087;34;2611;100;0;2019-10-02 00:21:******
1088;34;2631;100;0;2019-10-02 00:21:******
1089;34;2618;100;0;2019-10-02 00:21:******
1090;34;2619;100;0;2019-10-02 00:21:******
1526;47;2041;72;1;2019-10-02 12:05:******
1527;47;2042;72;0;2019-10-02 12:05:******
1528;47;2065;72;0;2019-10-02 12:05:******
1529;47;2059;72;0;2019-10-02 12:05:******
1530;1;2925;74;0;2019-10-02 12:05:******
1531;1;2924;74;0;2019-10-02 12:05:******
1771;51;2544;53;0;2019-10-02 13:39:******
1772;1;2791;58;0;2019-10-02 13:39:******
1773;1;2791;58;0;2019-10-02 13:39:******
1774;34;2399;51;0;2019-10-02 13:39:******
1775;34;2438;51;0;2019-10-02 13:39:******
1776;51;2507;53;0;2019-10-02 13:40:******
1777;1;2784;58;0;2019-10-02 13:40:******
1778;1;2783;58;0;2019-10-02 13:40:******
1779;34;2581;51;0;2019-10-02 13:40:******
1780;34;2566;51;0;2019-10-02 13:40:******
1781;51;2533;53;0;2019-10-02 13:41:******
1782;1;2780;58;0;2019-10-02 13:41:******
1783;1;2782;58;0;2019-10-02 13:41:******
1784;34;2611;51;0;2019-10-02 13:41:******
1785;34;2614;51;0;2019-10-02 13:41:******
1786;1;2761;58;0;2019-10-02 13:42:******
1787;1;2763;58;0;2019-10-02 13:42:******
1788;34;2645;50;0;2019-10-02 13:42:******
1789;34;2647;50;0;2019-10-02 13:42:******
1790;51;2629;53;0;2019-10-02 13:42:******
1791;15;2346;64;0;2019-10-02 13:43:******
1792;1;2744;58;0;2019-10-02 13:43:******
1793;1;2745;58;0;2019-10-02 13:43:******
1794;34;2667;50;0;2019-10-02 13:43:******
1795;34;2671;50;0;2019-10-02 13:43:******
1796;15;2339;64;0;2019-10-02 13:44:******
1797;1;2746;58;0;2019-10-02 13:44:******
1798;1;2747;58;0;2019-10-02 13:44:******
1799;34;2681;50;0;2019-10-02 13:44:******
1800;34;2673;50;0;2019-10-02 13:44:******
1833;1;2896;54;0;2019-10-02 14:00:******
1834;1;2894;54;0;2019-10-02 14:00:******
1835;34;2661;50;0;2019-10-02 14:00:******
1836;34;2663;50;0;2019-10-02 14:00:******
1837;15;2315;63;0;2019-10-02 14:00:******
1838;1;2888;54;0;2019-10-02 14:01:******
1839;1;2888;54;0;2019-10-02 14:01:******
1840;34;2691;50;0;2019-10-02 14:01:******
1841;34;2693;50;0;2019-10-02 14:01:******
1842;15;1869;63;0;2019-10-02 14:01:******
1843;51;2471;53;0;2019-10-02 14:02:******
1844;1;2903;54;0;2019-10-02 14:02:******
1845;1;2903;54;0;2019-10-02 14:02:******
1846;34;2746;49;0;2019-10-02 14:02:******
1847;34;2748;49;0;2019-10-02 14:02:******
1852;51;2563;52;0;2019-10-02 14:04:******
1853;34;2867;49;0;2019-10-02 14:04:******
1854;34;2869;49;0;2019-10-02 14:04:******
1855;1;2918;53;0;2019-10-02 14:04:******
1856;1;2920;53;0;2019-10-02 14:04:******
1857;51;2569;52;0;2019-10-02 14:05:******
1858;34;2805;49;0;2019-10-02 14:05:******
1859;34;2808;49;0;2019-10-02 14:05:******
1860;1;2878;53;0;2019-10-02 14:05:******
1861;1;2880;53;0;2019-10-02 14:05:******
1862;15;2212;63;0;2019-10-02 14:05:******
1870;1;2868;53;0;2019-10-02 14:08:******
1871;1;2870;53;0;2019-10-02 14:08:******
1872;34;2841;49;0;2019-10-02 14:08:******
1873;34;2844;49;0;2019-10-02 14:08:******
1874;15;2286;63;0;2019-10-02 14:08:******
1883;51;2760;51;0;2019-10-02 14:11:******
1884;1;2907;52;0;2019-10-02 14:11:******
1885;1;2909;52;0;2019-10-02 14:11:******
1886;34;2744;49;0;2019-10-02 14:11:******
1887;34;2749;49;0;2019-10-02 14:11:******
1888;15;2289;63;0;2019-10-02 14:11:******
1889;34;2355;49;0;2019-10-02 14:11:******
2103;15;2621;46;0;2019-10-02 15:56:******
2104;55;2218;56;0;2019-10-02 15:56:******
2105;55;2222;56;0;2019-10-02 15:56:******
2106;55;2226;56;0;2019-10-02 15:56:******
2107;55;2189;56;0;2019-10-02 15:56:******
2367;15;2238;79;0;2019-10-02 20:14:******
2368;59;2257;88;0;2019-10-02 20:14:******
2369;59;2260;88;0;2019-10-02 20:14:******
2370;59;2232;88;0;2019-10-02 20:14:******
2371;59;2241;88;0;2019-10-02 20:14:******
2564;62;2544;48;0;2019-10-02 22:52:******
2565;62;2537;48;0;2019-10-02 22:52:******
2566;62;2486;48;0;2019-10-02 22:52:******
2567;15;2314;89;0;2019-10-02 22:52:******
2568;62;2486;48;0;2019-10-02 22:52:******
3241;72;2058;75;0;2019-10-03 09:46:******
3242;72;2059;75;1;2019-10-03 09:46:******
3243;72;2052;75;0;2019-10-03 09:46:******
3244;15;2543;63;0;2019-10-03 09:46:******
3245;72;2056;75;0;2019-10-03 09:46:******
3246;6;5158;100;0;2019-10-03 09:46:******
3291;15;2257;60;0;2019-10-03 10:14:******
3292;74;1677;85;0;2019-10-03 10:14:******
3293;74;1676;85;0;2019-10-03 10:14:******
3294;6;5410;94;0;2019-10-03 10:14:******
3295;74;1691;85;0;2019-10-03 10:14:******
3640;80;3128;74;0;2019-10-03 14:16:******
3641;80;3130;74;0;2019-10-03 14:16:******
3642;15;2059;46;0;2019-10-03 14:16:******
3643;80;3093;74;0;2019-10-03 14:16:******
3644;80;3113;74;0;2019-10-03 14:16:******
4323;86;2487;60;0;2019-10-04 01:52:******
4324;86;2490;60;0;2019-10-04 01:52:******
4325;86;2383;60;0;2019-10-04 01:52:******
4326;86;2381;60;0;2019-10-04 01:52:******
4327;62;2320;41;0;2019-10-04 01:52:******
4328;62;2322;41;0;2019-10-04 01:52:******
4625;66;1668;82;0;2019-10-06 14:34:******
4626;66;1691;82;0;2019-10-06 14:34:******
4627;66;1666;82;0;2019-10-06 14:34:******
4628;66;1656;82;0;2019-10-06 14:34:******
4629;66;1656;82;0;2019-10-06 14:34:******
4656;93;1995;25;0;2019-10-06 15:58:******
4657;93;1999;25;0;2019-10-06 15:58:******
4658;93;1963;25;0;2019-10-06 15:58:******
4659;93;1976;25;0;2019-10-06 15:58:******
4660;93;1948;25;0;2019-10-06 15:58:******
4841;80;2813;11;0;2019-10-07 01:43:******
4842;66;1638;30;0;2019-10-07 01:43:******
4843;66;1653;30;0;2019-10-07 01:43:******
4844;66;1646;30;0;2019-10-07 01:43:******
4845;66;1663;30;0;2019-10-07 01:43:******
4846;66;1635;30;0;2019-10-07 01:43:******
4847;66;1645;30;0;2019-10-07 01:43:******
6702;135;2476;90;0;2019-10-10 13:29:******
6703;135;2482;90;0;2019-10-10 13:29:******
6704;135;2515;90;0;2019-10-10 13:29:******
6705;135;2488;90;0;2019-10-10 13:29:******
6706;135;2512;90;1;2019-10-10 13:29:******
6707;135;2514;90;0;2019-10-10 13:29:******
7063;138;2634;41;0;2019-10-10 19:38:******
7064;139;2736;66;0;2019-10-10 19:38:******
7065;139;2739;66;0;2019-10-10 19:38:******
7066;138;2639;41;0;2019-10-10 19:38:******
7067;139;2687;66;0;2019-10-10 19:38:******
7068;139;2692;66;1;2019-10-10 19:39:******
7069;139;2697;66;0;2019-10-10 19:39:******
7070;138;2615;41;0;2019-10-10 19:39:******
7071;138;2615;41;0;2019-10-10 19:39:******
7072;139;2669;66;0;2019-10-10 19:39:******
7073;138;2622;41;0;2019-10-10 19:39:******
7074;138;2630;41;0;2019-10-10 19:39:******
7079;139;2667;66;0;2019-10-10 19:42:******
7080;140;1856;87;0;2019-10-10 19:42:******
7081;140;1855;87;0;2019-10-10 19:42:******
7082;139;2656;66;0;2019-10-10 19:42:******
7083;138;2870;41;0;2019-10-10 19:42:******
7084;1;2994;86;0;2019-10-10 19:42:******
7085;140;1870;87;0;2019-10-10 19:42:******
7086;140;1855;87;0;2019-10-10 19:43:******
7087;139;2660;66;0;2019-10-10 19:43:******
7088;139;2752;66;0;2019-10-10 19:43:******
7089;138;2799;41;0;2019-10-10 19:43:******
7090;140;1847;87;0;2019-10-10 19:43:******
7091;139;2756;66;1;2019-10-10 19:44:******
7092;139;2763;66;0;2019-10-10 19:44:******
7093;147;2655;24;0;2019-10-10 19:44:******
7094;147;2654;24;0;2019-10-10 19:44:******
7095;140;1840;87;0;2019-10-10 19:44:******
7096;140;1834;87;0;2019-10-10 19:44:******
7097;147;2615;24;0;2019-10-10 19:44:******
7098;147;2615;24;0;2019-10-10 19:44:******
7099;147;2591;24;0;2019-10-10 19:44:******
7100;147;2635;24;0;2019-10-10 19:44:******
7101;138;2824;41;0;2019-10-10 19:44:******
7102;147;2640;24;0;2019-10-10 19:44:******
9571;20;3017;65;0;2019-10-16 12:48:******
9572;20;3052;65;0;2019-10-16 12:48:******
9573;20;2999;65;0;2019-10-16 12:48:******
9574;20;3013;65;0;2019-10-16 12:48:******
9575;207;1425;72;0;2019-10-16 12:48:******
9576;207;1428;72;0;2019-10-16 12:48:******
11385;66;1681;72;0;2019-10-17 14:04:******
11386;64;1593;73;0;2019-10-17 14:04:******
11387;207;1459;68;0;2019-10-17 14:04:******
11388;64;1524;73;0;2019-10-17 14:04:******
11389;66;1622;72;0;2019-10-17 14:04:******
12786;233;2164;99;0;2019-10-19 17:46:******
12787;233;2168;99;0;2019-10-19 17:46:******
12788;234;2458;30;0;2019-10-19 17:46:******
12789;234;2464;30;0;2019-10-19 17:46:******
12790;234;2407;30;0;2019-10-19 17:46:******
12791;234;2408;30;0;2019-10-19 17:46:******
12793;233;2011;98;0;2019-10-19 17:49:******
12794;233;2030;98;0;2019-10-19 17:49:******
12795;233;2086;98;0;2019-10-19 17:49:******
12796;233;2001;98;0;2019-10-19 17:49:******
12797;44;1254;47;0;2019-10-19 17:49:******
14095;230;2490;75;0;2019-10-20 16:36:******
14096;230;2471;75;0;2019-10-20 16:36:******
14097;15;2781;22;0;2019-10-20 16:36:******
14098;230;2434;75;0;2019-10-20 16:36:******
14099;230;2431;75;0;2019-10-20 16:36:******
14405;260;1913;71;0;2019-10-20 22:09:******
14406;260;1907;71;0;2019-10-20 22:09:******
14407;260;1860;71;0;2019-10-20 22:09:******
14408;260;1842;71;0;2019-10-20 22:09:******
14409;260;1843;71;0;2019-10-20 22:09:******
14410;260;1845;71;0;2019-10-20 22:09:******
14411;260;1866;71;0;2019-10-20 22:09:******
14426;259;2554;65;0;2019-10-20 23:07:******
14427;259;2515;65;0;2019-10-20 23:07:******
14428;259;2486;65;0;2019-10-20 23:07:******
14429;259;2492;65;0;2019-10-20 23:07:******
14430;259;2493;65;0;2019-10-20 23:07:******
14438;275;2067;96;0;2019-10-21 08:53:******
14439;275;2074;96;0;2019-10-21 08:53:******
14440;275;2113;96;0;2019-10-21 08:53:******
14441;275;2105;96;0;2019-10-21 08:53:******
14442;275;2104;96;0;2019-10-21 08:53:******
14443;275;2105;96;0;2019-10-21 08:53:******
14718;12;1836;26;0;2019-10-21 15:49:******
14719;12;1852;26;0;2019-10-21 15:49:******
14720;12;1846;26;0;2019-10-21 15:49:******
14721;12;1867;26;0;2019-10-21 15:49:******
14722;12;1894;26;0;2019-10-21 15:49:******
14723;275;2073;83;0;2019-10-21 15:49:******
14724;12;1921;26;0;2019-10-21 15:49:******
14725;12;1928;26;0;2019-10-21 15:49:******
14726;12;1870;26;0;2019-10-21 15:49:******
14727;12;1760;26;0;2019-10-21 15:49:******
14728;12;1767;26;0;2019-10-21 15:49:******
15685;17;1103;99;0;2019-10-22 01:47:******
15686;17;1103;99;0;2019-10-22 01:47:******
15687;66;1744;27;0;2019-10-22 01:47:******
15688;66;1745;27;0;2019-10-22 01:47:******
15689;207;1384;65;0;2019-10-22 01:47:******
15690;20;2514;27;0;2019-10-22 01:47:******
15691;17;1101;99;0;2019-10-22 01:48:******
15692;17;1102;99;0;2019-10-22 01:48:******
15693;66;1725;27;0;2019-10-22 01:48:******
15694;66;1726;27;0;2019-10-22 01:48:******
15695;207;1396;65;0;2019-10-22 01:48:******
15696;20;2517;27;0;2019-10-22 01:48:******
15701;66;1712;27;0;2019-10-22 01:50:******
15702;66;1713;27;0;2019-10-22 01:50:******
15703;207;1407;64;0;2019-10-22 01:50:******
15704;20;2512;27;0;2019-10-22 01:50:******
15705;17;1120;99;0;2019-10-22 01:50:******
15706;17;1122;99;0;2019-10-22 01:50:******
15711;66;1721;27;0;2019-10-22 01:52:******
15712;66;1721;27;0;2019-10-22 01:52:******
15713;207;1481;64;0;2019-10-22 01:52:******
15714;17;1115;99;0;2019-10-22 01:52:******
15715;20;2526;27;0;2019-10-22 01:52:******
15724;17;1118;100;0;2019-10-22 01:55:******
15725;17;1118;100;0;2019-10-22 01:55:******
15726;66;1749;33;0;2019-10-22 01:55:******
15727;66;1751;33;0;2019-10-22 01:55:******
15728;207;1396;64;0;2019-10-22 01:55:******
15729;20;2533;27;0;2019-10-22 01:55:******
15738;17;1118;100;0;2019-10-22 01:58:******
15739;17;1119;100;0;2019-10-22 01:58:******
15740;66;1767;35;0;2019-10-22 01:58:******
15741;66;1767;35;0;2019-10-22 01:58:******
15742;207;1391;63;0;2019-10-22 01:58:******
15743;20;2512;27;0;2019-10-22 01:58:******
15744;17;1121;100;0;2019-10-22 01:59:******
15745;17;1116;100;0;2019-10-22 01:59:******
15746;66;1770;36;0;2019-10-22 01:59:******
15747;66;1770;36;0;2019-10-22 01:59:******
15748;207;1406;63;0;2019-10-22 01:59:******
15749;20;2510;27;0;2019-10-22 01:59:******
15750;66;1681;37;0;2019-10-22 02:00:******
15751;66;1681;37;0;2019-10-22 02:00:******
15752;207;1382;63;0;2019-10-22 02:00:******
15753;17;1049;100;0;2019-10-22 02:00:******
15754;17;1045;100;0;2019-10-22 02:00:******
15755;20;2520;27;0;2019-10-22 02:00:******
15760;66;1640;38;0;2019-10-22 02:02:******
15761;66;1639;38;0;2019-10-22 02:02:******
15762;207;1398;63;0;2019-10-22 02:02:******
15763;20;2498;27;0;2019-10-22 02:02:******
15764;17;1021;100;0;2019-10-22 02:02:******
15765;17;1022;100;0;2019-10-22 02:03:******
15766;66;1646;39;0;2019-10-22 02:03:******
15767;66;1648;39;0;2019-10-22 02:03:******
15768;207;1374;62;0;2019-10-22 02:03:******
15769;20;2504;27;0;2019-10-22 02:03:******
15830;66;1619;50;0;2019-10-22 02:19:******
15831;66;1621;50;0;2019-10-22 02:19:******
15832;207;1356;59;0;2019-10-22 02:19:******
15833;20;2480;25;0;2019-10-22 02:19:******
15834;17;1032;100;0;2019-10-22 02:19:******
15835;17;1032;100;0;2019-10-22 02:19:******
15879;66;1633;61;0;2019-10-22 02:34:******
15880;66;1636;61;0;2019-10-22 02:34:******
15881;17;1030;100;0;2019-10-22 02:34:******
15882;17;1035;100;0;2019-10-22 02:34:******
15883;20;2392;24;0;2019-10-22 02:34:******
15906;17;1091;100;1;2019-10-22 02:42:******
15907;17;1047;100;0;2019-10-22 02:42:******
15908;66;1645;67;0;2019-10-22 02:42:******
15909;66;1647;67;0;2019-10-22 02:42:******
15910;20;2346;22;0;2019-10-22 02:42:******
15911;17;1175;100;1;2019-10-22 02:43:******
15912;17;1141;100;1;2019-10-22 02:43:******
15913;66;1649;68;0;2019-10-22 02:43:******
15914;66;1638;68;0;2019-10-22 02:43:******
15915;20;2140;22;0;2019-10-22 02:43:******
15916;17;999;100;0;2019-10-22 02:44:******
15917;17;1001;100;0;2019-10-22 02:44:******
15918;66;1641;68;0;2019-10-22 02:44:******
15919;66;1642;68;0;2019-10-22 02:44:******
15920;20;2281;22;0;2019-10-22 02:44:******
15936;17;996;100;0;2019-10-22 02:50:******
15937;17;995;100;5;2019-10-22 02:50:******
15938;66;1634;72;0;2019-10-22 02:50:******
15939;66;1637;72;0;2019-10-22 02:50:******
15940;20;2315;22;0;2019-10-22 02:50:******
16002;17;989;100;0;2019-10-22 03:12:******
16003;17;992;100;0;2019-10-22 03:12:******
16004;66;1582;83;0;2019-10-22 03:12:******
16005;66;1584;83;0;2019-10-22 03:12:******
16006;20;2669;19;0;2019-10-22 03:12:******
16054;20;2791;43;0;2019-10-22 03:29:******
16055;66;1600;89;0;2019-10-22 03:29:******
16056;66;1601;89;0;2019-10-22 03:29:******
16057;17;1009;100;0;2019-10-22 03:29:******
16058;17;1012;100;0;2019-10-22 03:29:******
16126;20;2748;74;0;2019-10-22 03:52:******
16127;17;1021;100;0;2019-10-22 03:52:******
16128;17;1022;100;0;2019-10-22 03:52:******
16129;66;1595;95;0;2019-10-22 03:52:******
16130;66;1595;95;0;2019-10-22 03:52:******
16131;20;2780;75;0;2019-10-22 03:53:******
16132;17;1023;100;0;2019-10-22 03:53:******
16133;17;1024;100;0;2019-10-22 03:53:******
16134;66;1596;95;0;2019-10-22 03:53:******
16135;66;1598;95;0;2019-10-22 03:53:******
16136;20;2767;76;0;2019-10-22 03:54:******
16137;17;1026;100;0;2019-10-22 03:54:******
16138;17;1024;100;0;2019-10-22 03:54:******
16139;66;1591;95;0;2019-10-22 03:54:******
16140;66;1595;95;0;2019-10-22 03:54:******
16141;20;2677;77;0;2019-10-22 03:55:******
16142;17;1028;100;0;2019-10-22 03:55:******
16143;17;1030;100;0;2019-10-22 03:55:******
16144;66;1592;95;0;2019-10-22 03:55:******
16145;66;1594;95;0;2019-10-22 03:55:******
16214;66;1610;98;0;2019-10-22 04:19:******
16215;66;1612;98;0;2019-10-22 04:19:******
16216;20;2672;93;0;2019-10-22 04:19:******
16217;17;1015;100;0;2019-10-22 04:19:******
16218;17;1016;100;0;2019-10-22 04:19:******
16268;66;1621;100;0;2019-10-22 04:36:******
16269;66;1623;100;0;2019-10-22 04:36:******
16270;20;2700;97;0;2019-10-22 04:36:******
16271;17;1024;100;1;2019-10-22 04:36:******
16272;17;1026;100;0;2019-10-22 04:36:******
18647;312;2147483647;75;0;2019-10-24 13:22:******
18648;29;2032;50;0;2019-10-24 13:22:******
18649;29;2055;50;0;2019-10-24 13:22:******
18650;207;1366;68;0;2019-10-24 13:22:******
18651;66;1789;85;0;2019-10-24 13:22:******
21489;2;2076;49;0;2019-10-30 03:40:******
21490;2;2047;49;0;2019-10-30 03:40:******
21491;2;2028;49;0;2019-10-30 03:40:******
21492;2;2018;49;0;2019-10-30 03:40:******
21493;2;2000;49;0;2019-10-30 03:40:******
22163;116;3530;77;0;2019-11-04 14:28:******
22164;116;3495;77;0;2019-11-04 14:28:******
22165;116;3516;77;0;2019-11-04 14:28:******
22166;116;3431;77;0;2019-11-04 14:28:******
22167;116;3435;77;0;2019-11-04 14:28:******
22168;116;3451;77;0;2019-11-04 14:28:******
22934;61;1518;89;0;2019-11-07 13:27:******
22935;61;1521;89;0;2019-11-07 13:27:******
22936;394;1266118656;79;0;2019-11-07 13:27:******
22937;394;1255211008;79;0;2019-11-07 13:27:******
22938;61;1467;89;0;2019-11-07 13:27:******
22939;394;1259327488;79;0;2019-11-07 13:27:******
23432;10;3030;91;0;2019-11-09 17:03:******
23433;10;3037;91;0;2019-11-09 17:03:******
23434;10;2169;91;0;2019-11-09 17:03:******
23435;10;2210;91;0;2019-11-09 17:03:******
23436;10;2280;91;0;2019-11-09 17:03:******
23437;10;2295;91;0;2019-11-09 17:03:******
23739;4;2361;41;0;2019-11-09 20:01:******
23740;4;2351;41;0;2019-11-09 20:01:******
23741;259;2557;92;0;2019-11-09 20:01:******
23742;10;2824;80;0;2019-11-09 20:01:******
23743;10;2823;80;0;2019-11-09 20:01:******
24499;15;2655;56;0;2019-11-11 19:46:******
24500;285;2273;42;0;2019-11-11 19:46:******
24501;285;2276;42;0;2019-11-11 19:46:******
24502;1;3026;97;0;2019-11-11 19:46:******
24503;15;2730;56;0;2019-11-11 19:46:******
25005;1;2906;82;0;2019-11-12 13:36:******
25006;428;819;79;0;2019-11-12 13:36:******
25007;428;820;79;0;2019-11-12 13:36:******
25008;428;808;79;0;2019-11-12 13:36:******
25009;428;825;79;0;2019-11-12 13:36:******
25022;1;2946;82;0;2019-11-12 13:41:******
25023;428;834;79;0;2019-11-12 13:41:******
25024;428;829;79;0;2019-11-12 13:41:******
25025;428;815;79;0;2019-11-12 13:41:******
25026;428;828;79;0;2019-11-12 13:41:******
25045;1;3063;84;0;2019-11-12 13:48:******
25046;1;2900;84;0;2019-11-12 13:48:******
25047;1;2894;84;0;2019-11-12 13:48:******
25048;428;843;79;0;2019-11-12 13:48:******
25049;428;844;79;0;2019-11-12 13:48:******
27332;234;2657;98;0;2019-11-21 08:25:******
27333;234;2644;98;0;2019-11-21 08:25:******
27334;234;2594;98;0;2019-11-21 08:25:******
27335;234;2599;98;0;2019-11-21 08:25:******
27336;234;2628;98;0;2019-11-21 08:25:******
27337;234;2607;98;0;2019-11-21 08:25:******
27338;234;2634;98;0;2019-11-21 08:25:******
27339;234;2617;98;0;2019-11-21 08:25:******
27340;234;2623;98;0;2019-11-21 08:25:******
27341;234;2621;98;0;2019-11-21 08:25:******
27342;234;2629;98;0;2019-11-21 08:25:******
27343;234;2610;98;0;2019-11-21 08:25:******
27344;234;2619;98;0;2019-11-21 08:25:******
27345;234;2626;98;0;2019-11-21 08:25:******
27346;234;2629;98;0;2019-11-21 08:25:******
27347;234;2631;98;0;2019-11-21 08:25:******
27348;234;2632;98;0;2019-11-21 08:25:******
27349;234;2627;98;0;2019-11-21 08:25:******
27350;234;2621;98;0;2019-11-21 08:25:******
27351;234;2629;98;0;2019-11-21 08:25:******
27352;234;2631;98;0;2019-11-21 08:25:******
27353;234;2638;98;0;2019-11-21 08:25:******
27354;234;2606;98;0;2019-11-21 08:25:******
27355;234;2610;98;0;2019-11-21 08:25:******
27356;234;2622;98;0;2019-11-21 08:25:******
27357;234;2636;98;0;2019-11-21 08:25:******
27358;234;2639;98;0;2019-11-21 08:25:******
27359;234;2625;98;0;2019-11-21 08:25:******
27360;234;2634;98;0;2019-11-21 08:25:******
27361;234;2638;98;0;2019-11-21 08:25:******
27362;234;2640;98;0;2019-11-21 08:25:******
27363;234;2616;98;0;2019-11-21 08:25:******
27364;234;2622;98;0;2019-11-21 08:25:******
27365;234;2608;98;0;2019-11-21 08:25:******
